"i","Receiver","From","Justification","Gift","Disposition","Value_USD","Date","country"
"84","President Barack Obama","His Excellency Abdallah Baali, Ambassador of the People’s Democratic Republic of Algeria to the United States.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Six boxes of dates. Twelve bottles of wine","Perishable items handled pursuant to United States Secret Service policy.","509.94","2013-12-20","Algeria"
"85","President Barack Obama","Abdullah bin Abdulaziz Al-Saud, Custodian of the Two Holy Mosques, King of the Kingdom of Saudi Arabia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Gold and silver men’s wristwatch with leather band","National Archives and Records Administration.","18240","2014-01-14","United Arab Emirates"
"86","President Barack Obama","His Excellency Usama Al-Nujaifi, Speaker of the Council of Representatives of the Republic of Iraq.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Metallic gold-tone vase with red gemstones","National Archives and Records Administration.","430","2014-01-22","Iraq"
"87","President Barack Obama","His Excellency Michel Joseph Martelly, President of the Republic of Haiti.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Mahogany sculpture, title: Le Negre Marron depicting man drinking from water jug","National Archives and Records Administration.","500","2014-02-06","Haiti"
"88","President Barack Obama","His Excellency Fumio Kishida, Minister of Foreign Affairs of Japan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Green fountain pen with gold floral accents with an ink cartridge","National Archives and Records Administration.","1614","2014-02-07","Japan"
"89","President Barack Obama","His Excellency François Hollande, President of the French Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Three bottles of wine. Special-edition six-book set, title: Memoires du Generale Lafayette","National Archives and Records Administration. Wine handled pursuant to United States Secret Service Policy.","2906","2014-02-09","France"
"90","President Barack Obama","His Excellency Enrique Peña Nieto, President of the United Mexican States.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Book, title: Haciendas of the State of Mexico. Photo album of the North American Leaders’ Summit (NALS). Framed and signed photograph of President Obama, the President of the United Mexican States, and the Prime Minister of Canada at NALS. One kilogram pure silver coin engraved with image of Frida Kahlo. Silver cufflinks with the Great Seal of the United States. 1′ 2′ wool rug in an American Flag pattern. Sculpture of brightly colored flowers, animals, and people attached to clay base","National Archives and Records Administration.","3290","2014-02-19","Mexico"
"91","President Barack Obama","His Excellency Benjamin Netanyahu, Prime Minister of the State of Israel.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Framed black and white photograph of the first American consulate in Jerusalem circa 1888","National Archives and Records Administration.","440","2014-03-03","Israel"
"92","President Barack Obama","His Excellency Iurie Leancă, Prime Minister of the Republic of Moldova.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Bottle of cognac","Perishable items handled pursuant to United States Secret Service policy.","615","2014-03-03","Moldova"
"93","President Barack Obama","His Excellency Enda Kenny, TD, Prime Minister of Ireland.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Scalloped rim crystal bowl in the shape of Ireland’s Croagh Patrick Peak. DVD, title: Sustainability Starts Here. Book, title: My Irish Table. Silverware knife","National Archives and Records Administration.","1512","2014-03-13","Ireland"
"94","President Barack Obama","His Excellency Dr. Mahmoud Abbas, President of the Palestinian Authority.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Framed metallic disc plaque decorated with beads and stones. Framed tile art featuring red, purple, yellow, and white flowers on green vines","National Archives and Records Adminsitration.","625","2014-03-16","Palestine"
"95","President Barack Obama","His Excellency Mark Rutte, Prime Minister and Minister of General Affairs of the Netherlands.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Two white tulip vases. Blue and white double gourd vase","National Archives and Records Administration.","730","2014-03-24","Netherlands"
"96","President Barack Obama","His Excellency Giorgio Napolitano, President of the Italian Republic.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Silver box inscribed with the signature of President Giorgio Napolitano. Speech by President Giorgio Napolitano, title: Messaggio Al Parlamento","National Archives and Records Administration.","985","2014-03-27","Italy"
"97","President Barack Obama","His Holiness Pope Francis, Holy See.","Non-acceptance would cause embarrassment to donor and U.S. Government.","6″ cast bronze medal depicting vines on ceramic stoneware with Roman travertine finish. 8″ cast bronze medal depicting the Angel of Solidarity and Peace. Book, title: Miserando Atque Eligando","National Archives and Records Administration.","1015","2014-03-27","na"
"98","President Barack Obama","His Eminence Cardinal Pietro Parolin, Secretary of State of the Holy See.","Non-acceptance would cause embarrassment to donor and U.S. Government.","29″ 21″ folio of lithographs, title: Fontane Del Vaticano. Leatherbound book, title: Annuario Pontificio 2014","National Archives and Records Adminstration.","1707","2014-03-27","na"
"99","President Barack Obama","Abdullah bin Abdulaziz Al-Saud, Custodian of the Two Holy Mosques, King of the Kingdom of Saudi Arabia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","48″ gold-plated brass replica of the Makkah Clock Tower on marble base","National Archives and Records Administration.","57000","2014-03-28","United Arab Emirates"
"100","President Barack Obama","Abdullah bin Abdulaziz Al-Saud, Custodian of the Two Holy Mosques, King of the Kingdom of Saudi Arabia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","White gold men’s wristwatch with leather band","National Archives and Records Administration.","67000","2014-04-15","United Arab Emirates"
"101","President Barack Obama","Their Majesties the Emperor and Empress of Japan.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Flower pot painted with scene of dark gray mountain terrain. Signed framed photograph of the Emperor and Empress of Japan","National Archives and Records Administration. Sake handled pursuant to United States Secret Service policy.","2540","2014-04-24","Japan"
"102","President Barack Obama","Her Excellency Park Geun-hye, President of the Republic of Korea.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Painting on paper in colored powder and gold, title: ‘‘Harmonious and Peaceful World’’ depicting the sun, moon, and five mountain peaks representing the king","National Archives and Records Administration.","2200","2014-04-25","South Korea"
"103","President Barack Obama","His Majesty Sultan Badlishah Almu’tasimu Billahi Muhibbuddin Tunaku Ahaj Abdul Halim Mu’adzam Shah Ibni Almarhum, Yang di-Pertuan Agong XIV of Malaysia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Three coin set, one silver with the face of the King, one silver with the face of the Queen, and one gold with the King and Queen together. Signed and framed photograph of the King and Queen of Malaysia. 10″ plate with images of the King and Queen of Malaysia. Book, title: The Return. 20″ sword with steel blade and grip of polished wood carved in the shape of water fowl, held in sheath of gold and silver with encrusted gemstones","National Achives and Records Administration.","8117","2014-04-26","Malaysia"
"104","President Barack Obama","YAB Dato’ Sri Mohd Najib, Prime Minister of Malaysia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Framed portrait of President Obama woven in songket fabric. Stamp collection in metalcovered book including stamps to commemorate President Obama’s visit to Malaysia. Six booklets about Islam. Book, title: Ziarah Masjid di Malaysia","National Archives and Records Administration.","810","2014-04-27","Malaysia"
"105","President Barack Obama","YB Encik Khairy Jamaluddin Abu Bakar, Minister of Youth and Sports of Malaysia.","Non-acceptance would cause embarrassment to donor and U.S. Government.","Bronze-tone covered photo album containing photographs of President Obama’s visit to Malaysia. Silk batik fabric in silver, blue, and teal. Book, title: Malacanan Palace","National Archives and Records Administration.","441.75","2014-04-28","Malaysia"
"106","President Barack Obama","His Excellency José Mujica Cordano, President of the Oriental Republic of Uruguay.","Non-acceptance would cause embarrassment to donor and U.S. Government.","37″ 37″ black, white, and gray toned painting, title: Boliche depicting table and four chairs on tiled floor, plus drinkware. Cable-knit tan wool shawl with brown leather and suede accents. 25″ 35″ print on canvas featuring pastoral scene of men with swords looking off into the distance","National Archives and Records Administration.","1681","2014-05-12","Uruguay"
